Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05013573,Ickenham & South Harefield,18,Other ethnic group: Arab,9,L14.1: Never worked,41
E05013573,Ickenham & South Harefield,18,Other ethnic group: Arab,10,L14.2: Long-term unemployed,2
E05013573,Ickenham & South Harefield,18,Other ethnic group: Arab,11,L15: Full-time students,25
E05013573,Ickenham & South Harefield,19,Other ethnic group: Any other ethnic group,-8,Does not apply,85
E05013573,Ickenham & South Harefield,19,Other ethnic group: Any other ethnic group,1,L1 and L2: Large employers and higher managerial and administrative occupations,27
E05013573,Ickenham & South Harefield,19,Other ethnic group: Any other ethnic group,2,L3: Higher professional occupations,39
E05013573,Ickenham & South Harefield,19,Other ethnic group: Any other ethnic group,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",68
E05013573,Ickenham & South Harefield,19,Other ethnic group: Any other ethnic group,4,L7: Intermediate occupations,32
E05013573,Ickenham & South Harefield,19,Other ethnic group: Any other ethnic group,5,L8 and L9: Small employers and own account workers,40
E05013573,Ickenham & South Harefield,19,Other ethnic group: Any other ethnic group,6,L10 and L11: Lower supervisory and technical occupations,6
E05013573,Ickenham & South Harefield,19,Other ethnic group: Any other ethnic group,7,L12: Semi-routine occupations,23
E05013573,Ickenham & South Harefield,19,Other ethnic group: Any other ethnic group,8,L13: Routine occupations,23
E05013573,Ickenham & South Harefield,19,Other ethnic group: Any other ethnic group,9,L14.1: Never worked,29
E05013573,Ickenham & South Harefield,19,Other ethnic group: Any other ethnic group,10,L14.2: Long-term unemployed,3
E05013573,Ickenham & South Harefield,19,Other ethnic group: Any other ethnic group,11,L15: Full-time students,24
E05013574,Northwood (Hillingdon),-8,Does not apply,-8,Does not apply,0
E05013574,Northwood (Hillingdon),-8,Does not apply,1,L1 and L2: Large employers and higher managerial and administrative occupations,0
E05013574,Northwood (Hillingdon),-8,Does not apply,2,L3: Higher professional occupations,0
E05013574,Northwood (Hillingdon),-8,Does not apply,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E05013574,Northwood (Hillingdon),-8,Does not apply,4,L7: Intermediate occupations,0
E05013574,Northwood (Hillingdon),-8,Does not apply,5,L8 and L9: Small employers and own account workers,0
E05013574,Northwood (Hillingdon),-8,Does not apply,6,L10 and L11: Lower supervisory and technical occupations,0
E05013574,Northwood (Hillingdon),-8,Does not apply,7,L12: Semi-routine occupations,0
E05013574,Northwood (Hillingdon),-8,Does not apply,8,L13: Routine occupations,0
E05013574,Northwood (Hillingdon),-8,Does not apply,9,L14.1: Never worked,0
E05013574,Northwood (Hillingdon),-8,Does not apply,10,L14.2: Long-term unemployed,0
