Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (10 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (10 categories),Observation
E05013967,Beam Park,11,Mixed or Multiple ethnic groups: White and Black Caribbean,4,L8 and L9: Small employers and own account workers,5
E05013967,Beam Park,11,Mixed or Multiple ethnic groups: White and Black Caribbean,5,L10 and L11: Lower supervisory and technical occupations,4
E05013967,Beam Park,11,Mixed or Multiple ethnic groups: White and Black Caribbean,6,L12: Semi-routine occupations,7
E05013967,Beam Park,11,Mixed or Multiple ethnic groups: White and Black Caribbean,7,L13: Routine occupations,5
E05013967,Beam Park,11,Mixed or Multiple ethnic groups: White and Black Caribbean,8,L14.1 and L14.2: Never worked and long-term unemployed,9
E05013967,Beam Park,11,Mixed or Multiple ethnic groups: White and Black Caribbean,9,L15: Full-time students,14
E05013967,Beam Park,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,-8,Does not apply,22
E05013967,Beam Park,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E05013967,Beam Park,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",7
E05013967,Beam Park,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,3,L7: Intermediate occupations,0
E05013967,Beam Park,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,4,L8 and L9: Small employers and own account workers,2
E05013967,Beam Park,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,5,L10 and L11: Lower supervisory and technical occupations,1
E05013967,Beam Park,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,6,L12: Semi-routine occupations,2
E05013967,Beam Park,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,7,L13: Routine occupations,1
E05013967,Beam Park,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,8,L14.1 and L14.2: Never worked and long-term unemployed,4
E05013967,Beam Park,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,9,L15: Full-time students,6
E05013967,Beam Park,13,"White: English, Welsh, Scottish, Northern Irish or British",-8,Does not apply,527
E05013967,Beam Park,13,"White: English, Welsh, Scottish, Northern Irish or British",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",115
E05013967,Beam Park,13,"White: English, Welsh, Scottish, Northern Irish or British",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",313
E05013967,Beam Park,13,"White: English, Welsh, Scottish, Northern Irish or British",3,L7: Intermediate occupations,287
E05013967,Beam Park,13,"White: English, Welsh, Scottish, Northern Irish or British",4,L8 and L9: Small employers and own account workers,220
E05013967,Beam Park,13,"White: English, Welsh, Scottish, Northern Irish or British",5,L10 and L11: Lower supervisory and technical occupations,125
E05013967,Beam Park,13,"White: English, Welsh, Scottish, Northern Irish or British",6,L12: Semi-routine occupations,300
E05013967,Beam Park,13,"White: English, Welsh, Scottish, Northern Irish or British",7,L13: Routine occupations,312
E05013967,Beam Park,13,"White: English, Welsh, Scottish, Northern Irish or British",8,L14.1 and L14.2: Never worked and long-term unemployed,212
E05013967,Beam Park,13,"White: English, Welsh, Scottish, Northern Irish or British",9,L15: Full-time students,95
E05013967,Beam Park,14,White: Irish,-8,Does not apply,6
E05013967,Beam Park,14,White: Irish,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3
E05013967,Beam Park,14,White: Irish,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2
E05013967,Beam Park,14,White: Irish,3,L7: Intermediate occupations,3
E05013967,Beam Park,14,White: Irish,4,L8 and L9: Small employers and own account workers,5
E05013967,Beam Park,14,White: Irish,5,L10 and L11: Lower supervisory and technical occupations,1
E05013967,Beam Park,14,White: Irish,6,L12: Semi-routine occupations,2
E05013967,Beam Park,14,White: Irish,7,L13: Routine occupations,3
E05013967,Beam Park,14,White: Irish,8,L14.1 and L14.2: Never worked and long-term unemployed,8
E05013967,Beam Park,14,White: Irish,9,L15: Full-time students,0
E05013967,Beam Park,15,White: Gypsy or Irish Traveller,-8,Does not apply,9
E05013967,Beam Park,15,White: Gypsy or Irish Traveller,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E05013967,Beam Park,15,White: Gypsy or Irish Traveller,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E05013967,Beam Park,15,White: Gypsy or Irish Traveller,3,L7: Intermediate occupations,0
E05013967,Beam Park,15,White: Gypsy or Irish Traveller,4,L8 and L9: Small employers and own account workers,0
E05013967,Beam Park,15,White: Gypsy or Irish Traveller,5,L10 and L11: Lower supervisory and technical occupations,0
E05013967,Beam Park,15,White: Gypsy or Irish Traveller,6,L12: Semi-routine occupations,2
E05013967,Beam Park,15,White: Gypsy or Irish Traveller,7,L13: Routine occupations,1
E05013967,Beam Park,15,White: Gypsy or Irish Traveller,8,L14.1 and L14.2: Never worked and long-term unemployed,2
E05013967,Beam Park,15,White: Gypsy or Irish Traveller,9,L15: Full-time students,1
E05013967,Beam Park,16,White: Roma,-8,Does not apply,2
E05013967,Beam Park,16,White: Roma,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E05013967,Beam Park,16,White: Roma,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E05013967,Beam Park,16,White: Roma,3,L7: Intermediate occupations,0
E05013967,Beam Park,16,White: Roma,4,L8 and L9: Small employers and own account workers,4
E05013967,Beam Park,16,White: Roma,5,L10 and L11: Lower supervisory and technical occupations,0
E05013967,Beam Park,16,White: Roma,6,L12: Semi-routine occupations,0
E05013967,Beam Park,16,White: Roma,7,L13: Routine occupations,1
E05013967,Beam Park,16,White: Roma,8,L14.1 and L14.2: Never worked and long-term unemployed,1
E05013967,Beam Park,16,White: Roma,9,L15: Full-time students,0
E05013967,Beam Park,17,White: Other White,-8,Does not apply,60
E05013967,Beam Park,17,White: Other White,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",22
E05013967,Beam Park,17,White: Other White,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",40
E05013967,Beam Park,17,White: Other White,3,L7: Intermediate occupations,13
E05013967,Beam Park,17,White: Other White,4,L8 and L9: Small employers and own account workers,101
E05013967,Beam Park,17,White: Other White,5,L10 and L11: Lower supervisory and technical occupations,20
E05013967,Beam Park,17,White: Other White,6,L12: Semi-routine occupations,19
E05013967,Beam Park,17,White: Other White,7,L13: Routine occupations,52
E05013967,Beam Park,17,White: Other White,8,L14.1 and L14.2: Never worked and long-term unemployed,17
E05013967,Beam Park,17,White: Other White,9,L15: Full-time students,39
E05013967,Beam Park,18,Other ethnic group: Arab,-8,Does not apply,6
E05013967,Beam Park,18,Other ethnic group: Arab,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E05013967,Beam Park,18,Other ethnic group: Arab,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E05013967,Beam Park,18,Other ethnic group: Arab,3,L7: Intermediate occupations,0
E05013967,Beam Park,18,Other ethnic group: Arab,4,L8 and L9: Small employers and own account workers,3
E05013967,Beam Park,18,Other ethnic group: Arab,5,L10 and L11: Lower supervisory and technical occupations,0
E05013967,Beam Park,18,Other ethnic group: Arab,6,L12: Semi-routine occupations,0
E05013967,Beam Park,18,Other ethnic group: Arab,7,L13: Routine occupations,0
E05013967,Beam Park,18,Other ethnic group: Arab,8,L14.1 and L14.2: Never worked and long-term unemployed,3
E05013967,Beam Park,18,Other ethnic group: Arab,9,L15: Full-time students,3
E05013967,Beam Park,19,Other ethnic group: Any other ethnic group,-8,Does not apply,14
E05013967,Beam Park,19,Other ethnic group: Any other ethnic group,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",7
E05013967,Beam Park,19,Other ethnic group: Any other ethnic group,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",15
E05013967,Beam Park,19,Other ethnic group: Any other ethnic group,3,L7: Intermediate occupations,7
E05013967,Beam Park,19,Other ethnic group: Any other ethnic group,4,L8 and L9: Small employers and own account workers,7
E05013967,Beam Park,19,Other ethnic group: Any other ethnic group,5,L10 and L11: Lower supervisory and technical occupations,9
E05013967,Beam Park,19,Other ethnic group: Any other ethnic group,6,L12: Semi-routine occupations,4
E05013967,Beam Park,19,Other ethnic group: Any other ethnic group,7,L13: Routine occupations,13
E05013967,Beam Park,19,Other ethnic group: Any other ethnic group,8,L14.1 and L14.2: Never worked and long-term unemployed,6
E05013967,Beam Park,19,Other ethnic group: Any other ethnic group,9,L15: Full-time students,2
E05013968,Cranham,-8,Does not apply,-8,Does not apply,0
E05013968,Cranham,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E05013968,Cranham,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E05013968,Cranham,-8,Does not apply,3,L7: Intermediate occupations,0
E05013968,Cranham,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E05013968,Cranham,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E05013968,Cranham,-8,Does not apply,6,L12: Semi-routine occupations,0
E05013968,Cranham,-8,Does not apply,7,L13: Routine occupations,0
E05013968,Cranham,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E05013968,Cranham,-8,Does not apply,9,L15: Full-time students,0
E05013968,Cranham,1,"Asian, Asian British or Asian Welsh: Bangladeshi",-8,Does not apply,18
E05013968,Cranham,1,"Asian, Asian British or Asian Welsh: Bangladeshi",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",9
E05013968,Cranham,1,"Asian, Asian British or Asian Welsh: Bangladeshi",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",4
E05013968,Cranham,1,"Asian, Asian British or Asian Welsh: Bangladeshi",3,L7: Intermediate occupations,2
