Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (12 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (12 categories),Observation
E05009377,Hoxton East & Shoreditch,10,Mixed or Multiple ethnic groups: White and Black African,-8,Does not apply,34
E05009377,Hoxton East & Shoreditch,10,Mixed or Multiple ethnic groups: White and Black African,1,L1 and L2: Large employers and higher managerial and administrative occupations,4
E05009377,Hoxton East & Shoreditch,10,Mixed or Multiple ethnic groups: White and Black African,2,L3: Higher professional occupations,7
E05009377,Hoxton East & Shoreditch,10,Mixed or Multiple ethnic groups: White and Black African,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",13
E05009377,Hoxton East & Shoreditch,10,Mixed or Multiple ethnic groups: White and Black African,4,L7: Intermediate occupations,4
E05009377,Hoxton East & Shoreditch,10,Mixed or Multiple ethnic groups: White and Black African,5,L8 and L9: Small employers and own account workers,8
E05009377,Hoxton East & Shoreditch,10,Mixed or Multiple ethnic groups: White and Black African,6,L10 and L11: Lower supervisory and technical occupations,3
E05009377,Hoxton East & Shoreditch,10,Mixed or Multiple ethnic groups: White and Black African,7,L12: Semi-routine occupations,3
E05009377,Hoxton East & Shoreditch,10,Mixed or Multiple ethnic groups: White and Black African,8,L13: Routine occupations,6
E05009377,Hoxton East & Shoreditch,10,Mixed or Multiple ethnic groups: White and Black African,9,L14.1: Never worked,5
E05009377,Hoxton East & Shoreditch,10,Mixed or Multiple ethnic groups: White and Black African,10,L14.2: Long-term unemployed,6
E05009377,Hoxton East & Shoreditch,10,Mixed or Multiple ethnic groups: White and Black African,11,L15: Full-time students,17
E05009377,Hoxton East & Shoreditch,11,Mixed or Multiple ethnic groups: White and Black Caribbean,-8,Does not apply,56
E05009377,Hoxton East & Shoreditch,11,Mixed or Multiple ethnic groups: White and Black Caribbean,1,L1 and L2: Large employers and higher managerial and administrative occupations,0
E05009377,Hoxton East & Shoreditch,11,Mixed or Multiple ethnic groups: White and Black Caribbean,2,L3: Higher professional occupations,22
E05009377,Hoxton East & Shoreditch,11,Mixed or Multiple ethnic groups: White and Black Caribbean,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",15
E05009377,Hoxton East & Shoreditch,11,Mixed or Multiple ethnic groups: White and Black Caribbean,4,L7: Intermediate occupations,13
E05009377,Hoxton East & Shoreditch,11,Mixed or Multiple ethnic groups: White and Black Caribbean,5,L8 and L9: Small employers and own account workers,18
E05009377,Hoxton East & Shoreditch,11,Mixed or Multiple ethnic groups: White and Black Caribbean,6,L10 and L11: Lower supervisory and technical occupations,4
E05009377,Hoxton East & Shoreditch,11,Mixed or Multiple ethnic groups: White and Black Caribbean,7,L12: Semi-routine occupations,10
E05009377,Hoxton East & Shoreditch,11,Mixed or Multiple ethnic groups: White and Black Caribbean,8,L13: Routine occupations,18
E05009377,Hoxton East & Shoreditch,11,Mixed or Multiple ethnic groups: White and Black Caribbean,9,L14.1: Never worked,14
E05009377,Hoxton East & Shoreditch,11,Mixed or Multiple ethnic groups: White and Black Caribbean,10,L14.2: Long-term unemployed,4
E05009377,Hoxton East & Shoreditch,11,Mixed or Multiple ethnic groups: White and Black Caribbean,11,L15: Full-time students,21
E05009377,Hoxton East & Shoreditch,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,-8,Does not apply,89
E05009377,Hoxton East & Shoreditch,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,1,L1 and L2: Large employers and higher managerial and administrative occupations,15
E05009377,Hoxton East & Shoreditch,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,2,L3: Higher professional occupations,52
E05009377,Hoxton East & Shoreditch,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,3,"L4, L5 and L6: Lower managerial, administrative and professional occupations",44
E05009377,Hoxton East & Shoreditch,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,4,L7: Intermediate occupations,15
E05009377,Hoxton East & Shoreditch,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,5,L8 and L9: Small employers and own account workers,10
E05009377,Hoxton East & Shoreditch,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,6,L10 and L11: Lower supervisory and technical occupations,7
E05009377,Hoxton East & Shoreditch,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,7,L12: Semi-routine occupations,12
E05009377,Hoxton East & Shoreditch,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,8,L13: Routine occupations,22
E05009377,Hoxton East & Shoreditch,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,9,L14.1: Never worked,16
